"Literacy rate, adult female (% of females ages 15 and above)","Suriname","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Sweden","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Switzerland","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Syrian Arab Republic","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Tajikistan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Tanzania","73.09383"
"Literacy rate, adult female (% of females ages 15 and above)","Thailand","91.19193"
"Literacy rate, adult female (% of females ages 15 and above)","Timor-Leste","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Togo","51.24178"
"Literacy rate, adult female (% of females ages 15 and above)","Tonga","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Trinidad and Tobago","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Tunisia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Turkey","92.64581"
"Literacy rate, adult female (% of females ages 15 and above)","Turkmenistan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Turks and Caicos Islands","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Tuvalu","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Uganda","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Ukraine","NA"
"Literacy rate, adult female (% of females ages 15 and above)","United Arab Emirates","95.09761"
"Literacy rate, adult female (% of females ages 15 and above)","United Kingdom","NA"
"Literacy rate, adult female (% of females ages 15 and above)","United States","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Upper middle income","93.21061"
"Literacy rate, adult female (% of females ages 15 and above)","Uruguay","98.86746"
"Literacy rate, adult female (% of females ages 15 and above)","Uzbekistan","99.97577"
"Literacy rate, adult female (% of females ages 15 and above)","Vanuatu","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Venezuela, RB","96.56007"
"Literacy rate, adult female (% of females ages 15 and above)","Vietnam","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Virgin Islands (U.S.)","NA"
"Literacy rate, adult female (% of females ages 15 and above)","West Bank and Gaza","94.85377"
"Literacy rate, adult female (% of females ages 15 and above)","World","81.81769"
"Literacy rate, adult female (% of females ages 15 and above)","Yemen, Rep.","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Zambia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Zimbabwe","NA"
,"",""
,"",""
,"",""
Data from Database: Estadísticas sobre género,"",""
Last Updated: 09/17/2020,"",""
